maturity,Strike,Bid,Ask,Last,IVM,Volm,rate,Date,Asset
0.04109589,450,49.79998779,57.25,0,51.27234268,0,0.018,7/4/24,Lonza
0.04109589,460,40.19999695,47.59999084,0,45.27207565,0,0.018,7/4/24,Lonza
0.04109589,470,31,38.19999695,0,39.88553238,0,0.018,7/4/24,Lonza
0.04109589,480,22.54998779,29.34999084,0,35.54062653,0,0.018,7/4/24,Lonza
0.04109589,490,15.10000038,21.3999939,0,32.1534729,0,0.018,7/4/24,Lonza
0.04109589,500,9.149999619,14.55000019,0,29.61688423,0,0.018,7/4/24,Lonza
0.04109589,510,4.869999886,9.199999809,0,27.8513279,0,0.018,7/4/24,Lonza
0.04109589,520,1.960000038,5.649999619,0,26.69464302,0,0.018,7/4/24,Lonza
0.04109589,530,0.199999988,3.519999504,0,25.88889694,0,0.018,7/4/24,Lonza
0.04109589,540,0.009999998,2.259999275,0,27.35166359,0,0.018,7/4/24,Lonza
0.04109589,450,52.6499939,54.54998779,0,36.37500381,0,0.018,7/4/24,Lonza
0.04109589,460,42.94999695,44.8999939,0,32.60267258,0,0.018,7/4/24,Lonza
0.04109589,470,33.6499939,35.5,0,29.61030006,0,0.018,7/4/24,Lonza
0.04109589,480,24.94999695,26.6499939,0,27.33593559,0,0.018,7/4/24,Lonza
0.04109589,490,17.25,18.84999084,0,25.89184189,0,0.018,7/4/24,Lonza
0.04109589,500,10.80000019,12.30000019,10.69999981,24.62903214,5,0.018,7/4/24,Lonza
0.04109589,510,6.199999809,7.449999809,0,24.0891552,0,0.018,7/4/24,Lonza
0.04109589,520,3.050000191,4.100000381,0,23.46623421,0,0.018,7/4/24,Lonza
0.04109589,530,1.199999809,2.299999237,0,23.36989212,0,0.018,7/4/24,Lonza
0.04109589,540,0.360000014,1.25,0,23.49975014,0,0.018,7/4/24,Lonza
0.04109589,450,52.34999847,58.34999847,53.94999695,45.52819824,0,0.018,7/4/24,Lonza
0.04109589,460,42.70000076,47.79999924,44.3500061,38.44503784,0,0.018,7/4/24,Lonza
0.04109589,470,33.45000076,37.70000076,35,33.06884766,0,0.018,7/4/24,Lonza
0.04109589,480,24.85000038,28.39999962,26.19999695,29.53503036,0,0.018,7/4/24,Lonza
0.04109589,490,17.25,20.70000076,18.44999695,28.0018158,0,0.018,7/4/24,Lonza
0.04109589,500,10.89999962,14.19999981,12.05000019,26.77123833,0,0.018,7/4/24,Lonza
0.04109589,510,6.349999905,7.699999809,7.199999809,24.38840485,0,0.018,7/4/24,Lonza
0.04109589,520,3.24000001,4.340000153,3.930000305,23.95583916,0,0.018,7/4/24,Lonza
0.04109589,530,1.320000052,2.369999886,1.940000534,23.64601707,0,0.018,7/4/24,Lonza
0.04109589,540,0.050000001,5,0.949999988,32.01131439,0,0.018,7/4/24,Lonza
